NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;NON_SELF_EMPL_M;SELF_EMPL_M;TEMP_ABSENT_M;EMPL_TOTAL_M;NON_SELF_EMPL_W;SELF_EMPL_W;TEMP_ABSENT_W;EMPL_TOTAL_W;NON_SELF_EMPL_TOTAL;SELF_EMPL_TOTAL;TEMP_ABSENT_TOTAL;EMPL_TOTAL;REF_DATE
AT2;AT22;AT225;603;Deutschlandsberg;60346;Groß Sankt Florian ;1000;160;3;1163;806;131;37;974;1806;291;40;2137;31.10.2016
AT2;AT22;AT225;603;Deutschlandsberg;60347;Sankt Martin im Sulmtal ;738;132;1;871;565;104;30;699;1303;236;31;1570;31.10.2016
AT2;AT22;AT225;603;Deutschlandsberg;60348;Sankt Stefan ob Stainz ;820;183;5;1008;709;143;29;881;1529;326;34;1889;31.10.2016
AT2;AT22;AT225;603;Deutschlandsberg;60349;Schwanberg ;1086;162;2;1250;881;141;58;1080;1967;303;60;2330;31.10.2016
AT2;AT22;AT225;603;Deutschlandsberg;60350;Stainz ;1987;348;6;2341;1727;244;78;2049;3714;592;84;4390;31.10.2016
AT2;AT22;AT225;603;Deutschlandsberg;60351;Wies ;972;197;3;1172;778;148;34;960;1750;345;37;2132;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60608;Feldkirchen bei Graz ;1559;192;8;1759;1306;98;76;1480;2865;290;84;3239;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60611;Gössendorf ;957;131;7;1095;847;88;48;983;1804;219;55;2078;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60613;Gratkorn ;1860;181;5;2046;1679;120;77;1876;3539;301;82;3922;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60617;Hart bei Graz ;1092;193;4;1289;1040;129;46;1215;2132;322;50;2504;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60618;Haselsdorf-Tobelbad ;333;52;2;387;277;37;12;326;610;89;14;713;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60619;Hausmannstätten ;729;113;3;845;691;70;34;795;1420;183;37;1640;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60623;Kainbach bei Graz ;489;83;1;573;443;68;30;541;932;151;31;1114;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60624;Kalsdorf bei Graz ;1647;191;5;1843;1425;105;66;1596;3072;296;71;3439;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60626;Kumberg ;861;201;4;1066;792;103;40;935;1653;304;44;2001;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60628;Laßnitzhöhe ;603;104;2;709;554;80;31;665;1157;184;33;1374;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60629;Lieboch ;1155;147;5;1307;1130;71;58;1259;2285;218;63;2566;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60632;Peggau ;506;42;2;550;473;28;21;522;979;70;23;1072;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60639;Sankt Bartholomä ;318;60;0;378;284;55;15;354;602;115;15;732;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60641;Sankt Oswald bei Plankenwarth ;295;35;1;331;270;33;11;314;565;68;12;645;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60642;Sankt Radegund bei Graz ;456;96;1;553;424;66;28;518;880;162;29;1071;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60645;Semriach ;720;172;2;894;625;148;27;800;1345;320;29;1694;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60646;Stattegg ;602;120;1;723;549;90;27;666;1151;210;28;1389;31.10.2016
AT2;AT22;AT221;606;Graz-Umgebung;60647;Stiwoll ;180;25;0;205;145;25;7;177;325;50;7;382;31.10.2016
