#;Gemeinde;Bezirk / Statutarstadt;Einwohner 2013;Anlagen;Leistung [kW];[Watt/EW]
301;Muggendorf;Wr. Neustadt-Land;523;6; 40,20 ;76,86
302;Mühldorf;Krems-Land;1.388;15; 75,78 ;54,6
303;Münchendorf;Mödling;2.728;40; 226,18 ;82,91
304;Münichreith-Laimbach;Melk;1.663;27; 195,86 ;117,78
305;Nappersdorf-Kammersdorf;Hollabrunn;1.232;19; 106,76 ;86,66
306;Natschbach-Loipersbach;Neunkirchen;1.737;26; 117,54 ;67,67
307;Neidling;St. Pölten-Land;1.482;68; 486,17 ;328,05
308;Neudorf bei Staatz;Mistelbach;1.409;66; 405,55 ;287,83
309;Neuhofen an der Ybbs;Amstetten;2.861;69; 537,37 ;187,83
310;Neulengbach;St. Pölten-Land;7.847;100; 532,98 ;67,92
311;Neumarkt an der Ybbs;Melk;1.842;24; 149,59 ;81,21
312;Neunkirchen;Neunkirchen;12.263;67; 322,01 ;26,26
313;Neusiedl an der Zaya;Gänserndorf;1.241;12; 70,28 ;56,63
314;Neustadtl an der Donau;Amstetten;2.094;67; 490,79 ;234,38
315;Neustift-Innermanzing;St. Pölten-Land;1.489;15; 66,04 ;44,35
316;Niederhollabrunn;Korneuburg;1.590;33; 170,50 ;107,23
317;Niederleis;Mistelbach;828;18; 94,77 ;114,46
318;Nöchling;Melk;1.046;33; 221,14 ;211,41
319;Nußdorf ob der Traisen;St. Pölten-Land;1.716;32; 179,89 ;104,83
320;Ober-Grafendorf;St. Pölten-Land;4.539;64; 568,11 ;125,16
321;Oberndorf an der Melk;Scheibbs;2.953;64; 473,69 ;160,41
322;Obersiebenbrunn;Gänserndorf;1.700;12; 79,79 ;46,94
323;Oberwaltersdorf;Baden;4.100;31; 661,58 ;161,36
324;Obritzberg-Rust;St. Pölten-Land;2.270;69; 508,88 ;224,18
325;Oed-Oehling;Amstetten;1.770;38; 227,17 ;128,34
326;Opponitz;Amstetten;965;30; 271,00 ;280,83
327;Orth an der Donau;Gänserndorf;2.033;61; 273,16 ;134,36
328;Ottenschlag;Zwettl;996;16; 171,78 ;172,47
329;Ottenthal;Mistelbach;582;7; 40,00 ;68,73
330;Otterthal;Neunkirchen;596;5; 41,85 ;70,22
331;Palterndorf-Dobermannsdorf;Gänserndorf;1.268;8; 41,03 ;32,36
332;Parbasdorf;Gänserndorf;157;7; 74,52 ;474,65
333;Paudorf;Krems-Land;2.518;44; 232,29 ;92,25
334;Payerbach;Neunkirchen;2.146;14; 65,74 ;30,63
335;Perchtoldsdorf;Mödling;14.636;107; 693,97 ;47,42
336;Pernegg;Horn;692;14; 101,48 ;146,65
337;Pernersdorf;Hollabrunn;1.001;19; 88,53 ;88,44
338;Pernitz;Wr. Neustadt-Land;2.526;16; 99,18 ;39,26
339;Persenbeug-Gottsdorf;Melk;2.261;43; 292,99 ;129,58
340;Petronell-Carnuntum;Bruck;1.240;9; 42,70 ;34,44
341;Petzenkirchen;Melk;1.307;12; 56,95 ;43,57
342;Pfaffenschlag bei Waidhofen an der Thaya;Waidhofen a.d. Thaya;934;18; 162,44 ;173,92
343;Pfaffstätten;Baden;3.483;52; 220,08 ;63,19
344;Pillichsdorf;Mistelbach;1.135;16; 85,08 ;74,96
345;Pitten;Neunkirchen;2.486;24; 142,31 ;57,24
346;Pöchlarn;Melk;3.948;52; 995,95 ;252,27
347;Pöggstall;Melk;2.488;51; 521,81 ;209,73
348;Pölla;Zwettl;969;41; 323,35 ;333,69
349;Pottendorf;Baden;6.409;48; 352,23 ;54,96
350;Pottenstein;Baden;2.981;18; 89,69 ;30,09
351;Poysdorf;Mistelbach;5.473;85; 504,86 ;92,25
352;Prellenkirchen;Bruck;1.479;14; 99,90 ;67,55
353;Pressbaum;Wien Umgebung;7.107;60; 295,45 ;41,57
354;Prinzersdorf;St. Pölten-Land;1.601;21; 159,75 ;99,78
355;Prottes;Gänserndorf;1.394;13; 74,28 ;53,29
